Time,Voltage,Charge,Temperature
735979.027184259,2.7011514,-1.93715688169789E-06,39.932499
735979.027242129,2.7260294,0.058467519683728,39.839233
735979.027299999,2.7383406,0.116928401237394,39.914112
735979.02735787,2.7484062,0.175383978730451,39.926579
735979.02741574,2.7571883,0.233840263891319,39.889141
735979.027473611,2.7651284,0.292298890616663,39.8517
735979.027531481,2.7721062,0.350737230847913,39.8517
735979.027589351,2.7786427,0.40918679838217,39.876675
735979.027647222,2.785059,0.467636079716043,39.889141
735979.027705092,2.7909138,0.526103760422778,39.95155
735979.027762962,2.7963676,0.584563498941617,39.889141
735979.027820833,2.801661,0.643017910862548,39.914112
735979.027878703,2.8065534,0.701460103382104,39.964054
735979.027936573,2.8111248,0.759902549100657,39.8517
735979.027994444,2.8159771,0.818335642541977,39.864166
735979.028052314,2.8200676,0.87677093356381,39.889141
735979.028110184,2.8243184,0.935213405332293,39.926579
735979.028168055,2.8286493,0.993660039866034,39.864166
735979.028225925,2.8327796,1.05210638125563,39.814266
735979.028283796,2.8367097,1.1105488183373,39.889141
735979.028341666,2.840359,1.16898965097094,39.826733
735979.028399536,2.8444092,1.22743509912517,39.864166
735979.028457407,2.8475771,1.28588165558334,39.876675
735979.028515277,2.8513467,1.3443208352786,39.939083
735979.028573147,2.8548756,1.40275770989638,39.876675
735979.028631018,2.8581238,1.46120740575682,39.876675
735979.028688888,2.8614924,1.51965730283823,39.876675
735979.028746758,2.8649411,1.57810108587317,39.864166
735979.028804629,2.8680692,1.63654738738476,39.889141
735979.028862499,2.8711169,1.69499421961249,39.876675
735979.028920369,2.8742447,1.75344499606377,39.839233
735979.02897824,2.877573,1.81190493230903,39.839233
735979.02903611,2.8800194,1.87035646498624,39.864166
735979.029093981,2.8831472,1.92880278730065,39.826733
735979.029151851,2.8860745,1.98725053188737,39.889141
735979.029209721,2.8886812,2.04570248434181,39.839233
735979.029267592,2.8914483,2.10415280980364,39.826733
735979.029325462,2.8940949,2.1625963413379,39.889141
735979.029383332,2.8967817,2.22105314684728,39.839233
735979.029441203,2.8995888,2.27951272408699,39.876675
735979.029499073,2.9022355,2.33797513718871,39.914112
735979.029556943,2.9050426,2.39643692241543,39.8517
735979.029614814,2.9073284,2.45490414000545,39.839233
735979.029672684,2.9096143,2.51338506697087,39.889141
735979.029730554,2.9119802,2.57186420912625,39.889141
735979.029788425,2.9145868,2.63034682548233,39.8517
735979.029846295,2.9167924,2.68882996561495,39.876675
735979.029904166,2.9192786,2.74730821627069,39.864166
735979.029962036,2.9212036,2.80577978738596,39.8517
735979.030019906,2.9236498,2.86425253452727,39.864166
735979.030077777,2.926096,2.92272191329438,39.914112
735979.030135647,2.928061,2.98118402459408,39.8517
735979.030193517,2.9301863,3.03964572476362,39.864166
735979.030251388,2.9324722,3.09810583971312,39.839233
735979.030309258,2.9347579,3.15657829200053,39.8517
735979.030367128,2.9366426,3.21504902019779,39.776787
735979.030424999,2.9388483,3.27351692116928,39.8517
735979.030482869,2.9409335,3.33198443882144,39.839233
735979.030540739,2.9429386,3.39044567592915,39.889141
735979.03059861,2.9449837,3.44889768037763,39.8517
735979.03065648,2.9467082,3.50735166215247,39.8517
735979.030714351,2.9489138,3.56581682613845,39.8517
735979.030772221,2.9508786,3.62427900162328,39.876675
735979.030830091,2.9526832,3.68274727029314,39.8517
735979.030887962,2.9546082,3.74120712851417,39.914112
735979.030945832,2.9566934,3.79966352989663,39.789291
735979.031003702,2.9582174,3.8581161258537,39.801758
735979.031061573,2.9601421,3.91657083783116,39.801758
735979.031119443,2.9618666,3.9750265801245,39.8517
735979.031177313,2.9637914,4.03348355215453,39.889141
735979.031235184,2.9653554,4.09194402089469,39.839233
735979.031293054,2.9672,4.15040731337377,39.8517
735979.031350925,2.9689646,4.20886827125273,39.839233
735979.031408795,2.9710498,4.26732400311587,39.914112
735979.031466665,2.9724534,4.32578300620577,39.839233
735979.031524536,2.974659,4.38423702958665,39.8517
735979.031582406,2.9759822,4.44269124900125,39.776787
735979.031640276,2.9776666,4.50114102291606,39.801758
735979.031698147,2.9792304,4.5595929111862,39.8517
735979.031756017,2.9808345,4.61804772203954,39.814266
735979.031813887,2.9823184,4.67651814669073,39.8517
735979.031871758,2.9842432,4.73497833791624,39.864166
735979.031929628,2.9856467,4.79342949420146,39.876675
735979.031987498,2.9871707,4.85188741325318,39.864166
735979.032045369,2.9888148,4.9103440279745,39.8517
735979.032103239,2.9903786,4.96881423235323,39.801758
735979.032161109,2.9921832,5.02727514684446,39.826733
