Time,Voltage Charge,Voltage Measured,Current Measured,Temperature
0,0.003,3.35260365999878,0.001989642339596,29.5533007325388
2.547,1.419,3.0358785775794,-3.38440778909724,29.5387509098627
5.547,4.175,3.45946801805238,1.51031782435852,29.5390002988895
8.391,4.213,3.47833320670214,1.51121066910728,29.5437939936421
11.281,4.229,3.49189299262218,1.51327019863869,29.5430920076775
14.156,4.24,3.50329433482418,1.51072818700049,29.5320308947925
17.031,4.25,3.51328786899301,1.51057862038737,29.5135472471882
19.906,4.261,3.52334721505934,1.50982017577581,29.492706962503
22.797,4.267,3.53209621262816,1.51162981504604,29.4769300299453
25.672,4.278,3.54069652820556,1.50746107638023,29.4471843941113
28.562,4.283,3.54858492701911,1.51252654892349,29.4239211611414
31.422,4.294,3.55640241717631,1.51083904693993,29.4073522581483
34.281,4.299,3.56380826489886,1.51251514033757,29.3749586771182
37.156,4.31,3.5712794685272,1.51016114460014,29.3467228607539
40.031,4.315,3.57786892563177,1.51025640774102,29.329590256765
42.891,4.321,3.58450016665036,1.50977854410133,29.3069100966966
45.75,4.326,3.59090064683065,1.51054973122316,29.2795581291559
48.641,4.332,3.5971644259709,1.51089615004522,29.2446566172412
51.5,4.342,3.6031935605692,1.5088573785633,29.2228835935909
54.375,4.348,3.60894560349231,1.50868781890223,29.1934783853255
57.266,4.353,3.61491800349586,1.51371905379116,29.1704270594711
60.141,4.359,3.6204492923553,1.51169216771953,29.1406523975857
63.031,4.364,3.6259660776484,1.51009890442748,29.1180532429692
65.906,4.369,3.63112731531426,1.5099481874654,29.0864643651056
68.797,4.375,3.63631074324808,1.51039847980339,29.073292838942
71.703,4.38,3.64127417572822,1.51286296275236,29.0366481650004
74.703,4.386,3.64666125449844,1.50990093694476,29.0159552355317
77.625,4.391,3.65168134121251,1.51162270708626,28.9848887106454
80.516,4.396,3.65644601510987,1.50979022323586,28.9626829713768
83.422,4.396,3.66100236712782,1.51323371969842,28.9452789666999
86.406,4.402,3.66582796636196,1.50945916051946,28.9185738599842
89.328,4.407,3.67044057349877,1.50853541408723,28.9033518538783
92.234,4.413,3.67459936200724,1.51028421497319,28.8765965617429
95.266,4.418,3.67907267574697,1.50658012815479,28.8513788112694
98.219,4.418,3.683639534416,1.51096912238059,28.8275636732251
101.141,4.423,3.68752134902982,1.51147961092379,28.8080551088778
104.141,4.429,3.69185603294069,1.50684832642489,28.784556816028
107.094,4.434,3.69572763486402,1.51077995765401,28.7662774011889
110.047,4.434,3.69965816378239,1.51034966118559,28.743195069868
113.031,4.44,3.70361526332339,1.50884402807538,28.7218844969945
116,4.445,3.70722135249864,1.510192356655,28.6940800091851
118.969,4.45,3.7113698152379,1.51289623147132,28.6743601239222
122.016,4.45,3.71471988574784,1.50784817592205,28.6522818182472
125,4.456,3.71837453212954,1.51343865300137,28.6285306461406
128.016,4.461,3.72220248970477,1.51168065564418,28.6050637017816
131.031,4.461,3.72566944244106,1.51215176754836,28.5840443421025
134.062,4.467,3.72914522478614,1.50847395018459,28.5567421647416
137.078,4.472,3.73244267392527,1.50855378207994,28.5486407814351
140.094,4.472,3.73575769697154,1.5089532308211,28.5159744659983
143.125,4.477,3.73916831820133,1.51308422356327,28.4993988612568
146.141,4.483,3.74241968384243,1.50880054716913,28.4781444887477
149.172,4.483,3.74572325564316,1.51000619021811,28.4543707534427
152.203,4.488,3.74873679826844,1.51065559780217,28.4363391537276
155.234,4.488,3.75199023490894,1.51203707331999,28.418330916291
158.297,4.494,3.75514126400102,1.51051873878377,28.3950143177852
161.375,4.494,3.7581264466928,1.50851962876115,28.384450469652
164.437,4.499,3.76153565764615,1.50471919561611,28.355614748632
167.5,4.504,3.76420091905724,1.50889679128991,28.3427858175911
170.578,4.504,3.76695287472585,1.51138907693289,28.3214051028683
173.656,4.504,3.76990632704826,1.51056863514817,28.2951907036518
176.766,4.51,3.77263320667355,1.51046322028171,28.2728479215638
179.891,4.515,3.77578282475725,1.51140265759343,28.2546729121326
183.031,4.515,3.77864082320317,1.51072931458154,28.2294288698566
186.172,4.521,3.78126775961191,1.51137271764347,28.2170816120254
189.328,4.521,3.78368347477253,1.50850525648135,28.1971488231523
192.437,4.526,3.7866556359542,1.51130256699642,28.167643896255
195.562,4.526,3.78944190104195,1.50958173641661,28.1573207777389
198.719,4.531,3.79201514971556,1.51502003859972,28.1358104186782
201.859,4.531,3.79419431375602,1.51032548851248,28.1203294685479
204.984,4.537,3.79694630576355,1.51312130734928,28.1000178621407
208.141,4.537,3.7995436648519,1.51189123943639,28.0774450085516
211.297,4.542,3.80166563919064,1.51087970119859,28.0655849149189
214.453,4.542,3.80419233580429,1.51140485170291,28.0509534754247
217.625,4.542,3.806251173794,1.5140471358183,28.0287256647208
220.844,4.548,3.80855605211529,1.51000967620664,28.0075852162293
224.031,4.548,3.81065719574207,1.50908837163791,27.9895317035843
227.203,4.553,3.81295612374883,1.50911309705232,27.9654719048332
230.406,4.553,3.81469498375106,1.51079207489325,27.9523211857422
233.625,4.553,3.81682613025583,1.51172332959672,27.9332376803476
236.844,4.558,3.81874413830676,1.51020259333549,27.9151509782759
240.156,4.558,3.8200535803453,1.51177982170694,27.9027683605519
243.375,4.558,3.82228997513479,1.51315091821475,27.8934621092484
246.625,4.564,3.823508635699,1.51397465066873,27.8728024943726
249.922,4.564,3.82536122256752,1.50994330222316,27.8561284947681
253.187,4.564,3.82668763840678,1.50962797086018,27.8423187441479
256.469,4.564,3.82803970197008,1.51091089334251,27.8211433852411
259.781,4.569,3.82887736464221,1.51475395189933,27.7983906455511
263.062,4.569,3.83007694995903,1.50846690351444,27.7921237696287
266.391,4.569,3.83166520396002,1.50815556959787,27.7756430067811
269.703,4.569,3.83270750590724,1.51040017643001,27.7531803019619
273.062,4.569,3.83380640130687,1.50852305176036,27.74247994204
276.406,4.575,3.83463284078971,1.51145173697078,27.7267829837847
279.75,4.575,3.83562669353271,1.51328029837021,27.7072512722537
283.078,4.575,3.83609571349683,1.50801559091188,27.6950476229659
286.469,4.575,3.83702900812145,1.50903853835718,27.6857809662942
289.844,4.575,3.83790019947486,1.51119743587928,27.6787726389157
293.266,4.575,3.83860538747957,1.51015056484757,27.6588330469945
296.672,4.58,3.83919307673154,1.50988660706611,27.6365391793612
300.094,4.575,3.84020347040959,1.51090034336056,27.6289233394093
303.531,4.58,3.84053831164702,1.51214380771062,27.6089291616005
306.953,4.58,3.84137829738256,1.510665407189,27.6051237362421
310.375,4.58,3.84200935249459,1.51318603721955,27.5938727956379
313.844,4.58,3.84273256559139,1.50983428349598,27.57959013706
317.297,4.58,3.8434196330317,1.51063749933375,27.5544558725412
320.75,4.58,3.84382180709006,1.50978190451572,27.5492113754253
324.219,4.58,3.84459661697628,1.51271715236401,27.5325576729219
