Time,Voltage Charge,Voltage Measured,Current Measured,Current Charge,Temperature
0,0.003,3.32505465684485,0.000302046731143,-0.002,29.3418505091955
2.516,1.414,3.0019505707765,-3.36198290868823,-3.37,29.3357231382262
5.5,4.142,3.43464431526881,1.50866965795979,1.498,29.3347172508793
8.391,4.18,3.4548571248845,1.51004305265905,1.498,29.3419489577748
11.266,4.196,3.46878815957312,1.50870448343723,1.498,29.3314619221132
14.141,4.207,3.48095405881532,1.51162546537982,1.5,29.3228977772231
17.031,4.223,3.49193109994486,1.50918231909586,1.498,29.3023534205382
19.906,4.229,3.50185108554857,1.51218026299991,1.498,29.2839514726814
22.797,4.24,3.51143742476867,1.51016661853275,1.498,29.2637951729095
25.672,4.25,3.52041057082367,1.511071728047,1.498,29.243620261694
28.562,4.256,3.52910034534173,1.51102712780418,1.5,29.2217143283869
31.453,4.267,3.53738005979676,1.51157079543061,1.498,29.1954637062758
34.328,4.272,3.54539578777519,1.5106862913865,1.5,29.1725470778824
37.203,4.283,3.55303458442327,1.51125880858392,1.5,29.1412119729254
40.062,4.288,3.56005984227838,1.50921680738214,1.5,29.1123643280477
42.906,4.294,3.56732547821171,1.51063458002565,1.498,29.0801101406397
45.766,4.305,3.57404323075767,1.5107102367864,1.498,29.0640071696726
48.625,4.31,3.58058902788268,1.51050488921772,1.5,29.0440654884839
51.484,4.315,3.5870079686821,1.51070788140363,1.498,29.014883920303
54.359,4.321,3.59326129829637,1.51224075100374,1.5,28.9866955472459
57.234,4.326,3.59935587984101,1.51302195782317,1.5,28.9721585132336
60.094,4.337,3.60509599715578,1.51282342284421,1.5,28.9410536170747
63,4.342,3.61158233005607,1.5137330794355,1.498,28.9168532627859
65.906,4.348,3.61698342547622,1.51255950707312,1.5,28.8980257764807
68.859,4.353,3.62235040518747,1.51201151323941,1.5,28.8680213793905
71.781,4.359,3.62772857748162,1.51173489117738,1.498,28.8435701732441
74.687,4.364,3.63328252531541,1.51223663165801,1.5,28.8215726213572
77.562,4.369,3.63830794547567,1.51051602511607,1.5,28.7918483770939
80.469,4.375,3.64346634838032,1.51171779093169,1.5,28.7723880317338
83.391,4.38,3.64822096863319,1.51392016123356,1.5,28.7469316029735
86.406,4.386,3.65308848644411,1.51007589540389,1.5,28.7191813090973
89.328,4.386,3.65800581308533,1.51211390001662,1.5,28.6944746421589
92.266,4.391,3.66274337113414,1.51026278209095,1.5,28.6676796868055
95.187,4.396,3.66733743574968,1.512418391556,1.498,28.6520062193506
98.172,4.402,3.67174706462684,1.50947560374538,1.5,28.6255428068335
101.125,4.407,3.67613415289462,1.51185464536364,1.498,28.6071716278365
104.062,4.413,3.68043125825798,1.50991054565276,1.5,28.588318092459
107.078,4.413,3.68476598774558,1.50970988887233,1.498,28.562576063653
110.031,4.418,3.68903239308514,1.51178989756785,1.5,28.5445248834473
113.047,4.423,3.69294619893621,1.51086487890585,1.498,28.5163775853363
116.016,4.429,3.69705845030649,1.50862768220757,1.5,28.4997887849475
118.969,4.429,3.70085476068079,1.51317633731922,1.498,28.4827812402835
121.969,4.434,3.70493604341717,1.50923414255174,1.5,28.4544860399501
124.969,4.44,3.70911142591202,1.50950506340469,1.5,28.4297878682164
127.984,4.445,3.71260302063891,1.51099041018806,1.5,28.4057164378101
131,4.445,3.71644489960634,1.50882077146471,1.5,28.3882001882672
134.016,4.45,3.72011072737751,1.51284475082105,1.5,28.3702619348932
137.031,4.456,3.72362216768924,1.51158344630414,1.498,28.3466895914687
140.047,4.456,3.72709510098175,1.51051515246339,1.5,28.3224282182455
143.047,4.461,3.73077399482459,1.51041694220286,1.5,28.307680173456
146.094,4.467,3.73439805057579,1.51188686861855,1.5,28.2844310051199
149.109,4.467,3.73752011093757,1.50879201489059,1.5,28.2727335716205
152.156,4.472,3.74071808056239,1.50725388985988,1.5,28.2485548135362
155.234,4.477,3.74395121296219,1.51054950596272,1.5,28.2247088516447
158.281,4.477,3.74752108722446,1.50924021388349,1.498,28.2056901032893
161.344,4.483,3.75060173481414,1.50887107861562,1.5,28.18669608672
164.453,4.488,3.75388958668831,1.50740897364609,1.5,28.1673444346856
167.578,4.488,3.75686761284843,1.5107251591458,1.5,28.1404187383846
170.641,4.494,3.7603427754686,1.51212935034291,1.498,28.1322253804288
173.75,4.494,3.76330012650173,1.50910230402391,1.5,28.1073380479727
176.875,4.499,3.76611589700668,1.51149026726139,1.5,28.0929526565163
180.016,4.499,3.76934519736558,1.51278715288906,1.5,28.0667707686824
183.156,4.504,3.7724359557635,1.50756584286474,1.5,28.0476421970652
186.328,4.504,3.77533241952069,1.51210770273865,1.5,28.0353523117931
189.469,4.51,3.77795615455127,1.5101016912539,1.5,28.009485063558
192.703,4.51,3.78080496745984,1.51232235811271,1.5,27.9880001981565
195.891,4.515,3.78389986273182,1.50895366680694,1.5,27.9749752819655
199.047,4.515,3.78623236103104,1.51050603008451,1.498,27.9477510316943
202.187,4.521,3.78918478397089,1.51109387546903,1.5,27.9308217379976
205.375,4.526,3.79182332417903,1.51030289415849,1.5,27.9056830899402
208.531,4.526,3.79451856288118,1.51210943798748,1.5,27.8871632959841
211.687,4.531,3.79719438491176,1.51249826178522,1.498,27.8718003474157
214.844,4.531,3.79984682081011,1.51121052380216,1.498,27.8486278109949
218.031,4.531,3.80198420069575,1.50834121596066,1.5,27.8442823374452
221.266,4.537,3.80463739261062,1.50847210629647,1.5,27.8207154426901
224.453,4.537,3.80702940780269,1.50896052935113,1.5,27.8002614810794
227.625,4.542,3.80918755753128,1.50935837845403,1.498,27.7821473058134
230.828,4.542,3.81195025724999,1.50854927210146,1.5,27.7560947776214
234.078,4.548,3.81407880962957,1.51007303963637,1.498,27.7397270800968
237.375,4.548,3.81610441111421,1.5116674021049,1.5,27.7253312099425
240.609,4.553,3.81827609901073,1.51002475598719,1.498,27.704402071043
243.844,4.553,3.8202234442323,1.50856204414344,1.498,27.6897654376235
247.156,4.553,3.82195639833183,1.51309898633427,1.498,27.6698637070502
250.437,4.553,3.82396710570826,1.51184282867405,1.498,27.6562279830152
253.687,4.558,3.82557451907666,1.51098065498926,1.5,27.6364479303833
257,4.558,3.82732877839625,1.51055174418888,1.5,27.6198291470691
260.266,4.558,3.82899611867119,1.50873443679223,1.5,27.6002757785637
263.609,4.564,3.83064448631264,1.51198707642628,1.5,27.5906166842477
266.891,4.564,3.8319759235662,1.51013482492058,1.5,27.5750190272707
270.234,4.564,3.83328138806724,1.51113172024446,1.5,27.5517137190131
273.547,4.564,3.83431809670788,1.5082673246591,1.5,27.542458212892
276.922,4.569,3.83562448475556,1.51316747082178,1.5,27.5286538601119
280.281,4.569,3.83648944825558,1.5111745657713,1.5,27.5148634548522
283.641,4.569,3.83757398194714,1.5124038862187,1.5,27.4978295095361
287.031,4.569,3.83869776103364,1.51082691564116,1.498,27.4806587688865
290.375,4.575,3.83949336983838,1.50888767618371,1.5,27.4754864465797
293.766,4.575,3.84031660658067,1.5095139359664,1.498,27.4586287518058
297.156,4.575,3.84114458448651,1.50967764849597,1.5,27.4425183154648
300.594,4.575,3.84219067779567,1.50850468922892,1.5,27.4273275057315
304.078,4.575,3.84317181609623,1.50810433993372,1.5,27.4195686768075
307.562,4.575,3.84346021317902,1.51517840935356,1.498,27.3998625862277
311.047,4.575,3.84428731217009,1.50659410734326,1.5,27.3869520308145
314.547,4.575,3.84561929787666,1.50275109576319,1.5,27.375632855055
318,4.58,3.84590513765923,1.5107633180307,1.498,27.3651737411599
321.5,4.58,3.84631654865476,1.51365139173389,1.5,27.3565514556906
324.969,4.58,3.84708969879895,1.51047109143748,1.498,27.3339412869529
328.422,4.58,3.8474468601821,1.51020118979357,1.5,27.3261944934684
331.906,4.58,3.84825766144454,1.51051014399906,1.498,27.3127953642974
335.406,4.58,3.84899998798288,1.51422121979124,1.5,27.3001720153452
338.922,4.58,3.84961077785336,1.51456682747813,1.5,27.2918808250691
342.531,4.58,3.85031016510198,1.50965375824712,1.5,27.2791582157833
346.078,4.58,3.85086246628569,1.5116956734684,1.5,27.2609105034322
349.656,4.586,3.85147971269608,1.51105327531218,1.498,27.2503411174901
353.219,4.586,3.85250839714732,1.50879405947995,1.498,27.2455348819896
356.859,4.586,3.85294741031445,1.50881357310612,1.5,27.2384568387352
360.437,4.586,3.85327718002318,1.51237014948399,1.5,27.2237352835915
364.078,4.586,3.85399764922047,1.51287273527247,1.5,27.2265881120994
367.672,4.586,3.85479720565783,1.5116703323648,1.498,27.204976663519
371.328,4.586,3.85550097291161,1.51202704154819,1.5,27.1914077601811
374.953,4.586,3.8558482181103,1.5090471392037,1.5,27.1886657614322
378.609,4.586,3.85659683725754,1.51068417773001,1.498,27.1753243516871
382.25,4.591,3.85734069457182,1.51290453268254,1.5,27.171491448373
385.922,4.591,3.85780277740866,1.51199595001482,1.5,27.1564869096142
389.641,4.591,3.85870962472926,1.50940061190996,1.5,27.1434094663151
393.375,4.591,3.85941891731862,1.51355922934481,1.5,27.1310822618643
397.156,4.591,3.85992293056794,1.51156364343777,1.498,27.1223990346774
400.937,4.591,3.86094446617008,1.51276277687112,1.5,27.1211903023309
404.766,4.591,3.86164468300676,1.51314914281636,1.5,27.108283170779
408.547,4.591,3.86238783976468,1.51045225850508,1.5,27.0916179454398
412.328,4.596,3.86288609531426,1.51133496288625,1.498,27.0876634432705
416.094,4.596,3.8633794765951,1.51167424023887,1.5,27.0840628621741
419.875,4.596,3.8640988146572,1.51105323166605,1.5,27.0733659395275
423.672,4.596,3.86494380003349,1.51065975159493,1.5,27.0587827973772
427.484,4.596,3.86558210359063,1.50980600744745,1.5,27.0514940105472
431.297,4.596,3.86639815875634,1.51157528923427,1.5,27.0510988397492
435.141,4.596,3.86727157873385,1.5095761726925,1.5,27.0411072209612
439.062,4.596,3.86795587436843,1.51000716655423,1.5,27.0349977240429
442.969,4.602,3.86880918762126,1.51050988373567,1.5,27.0224381746235
446.828,4.602,3.86948331300288,1.51173045771183,1.5,27.009149037419
450.766,4.602,3.87036281692489,1.50972258259248,1.498,26.9957612364867
454.672,4.602,3.87091505727663,1.50976527172527,1.5,26.9947364975667
458.609,4.602,3.87173370592029,1.50893910866008,1.5,26.9902146340031
462.547,4.602,3.87251975484631,1.50904533910345,1.498,26.982221173522
466.531,4.602,3.87318341106085,1.50937969013394,1.498,26.9714829836723
470.547,4.602,3.87410295350081,1.51034317551279,1.498,26.962192019758
474.5,4.607,3.87465028009628,1.51152147007836,1.498,26.9569815005553
478.5,4.607,3.87546382357564,1.51079546938736,1.5,26.9470410256912
482.516,4.607,3.8761551945225,1.51042284314011,1.5,26.9365245442743
486.578,4.607,3.87715091906066,1.50942120626779,1.5,26.9281389958878
490.672,4.607,3.8777337156744,1.50982629155554,1.5,26.9251129412659
494.766,4.607,3.87849700002544,1.51082659354505,1.5,26.9139078187073
498.875,4.613,3.8790414315332,1.50940122772767,1.498,26.9143302731215
502.984,4.613,3.87995188184878,1.51296584433014,1.5,26.8999489136697
507.078,4.613,3.88070361021131,1.51047354125629,1.498,26.896975720638
511.156,4.613,3.88168604803258,1.50922685809986,1.5,26.8903040362949
515.266,4.613,3.88229431631874,1.51027736030235,1.5,26.87952649674
519.391,4.613,3.88311435870532,1.50960604152304,1.498,26.8768009069624
523.531,4.618,3.88379288453832,1.5104680984085,1.5,26.8636579011609
527.672,4.613,3.88461455127445,1.51001676948637,1.498,26.8526165079559
531.859,4.618,3.88516885348608,1.51132216764142,1.498,26.8539750422111
536.094,4.618,3.88628630834736,1.51170606343819,1.5,26.8466381771878
540.281,4.618,3.88691727310802,1.51056014369537,1.5,26.8366130799583
544.578,4.618,3.88766542448298,1.51106638539323,1.5,26.8324286493313
548.828,4.623,3.88850890616784,1.51018192021822,1.5,26.8148118437335
553.094,4.623,3.88903542896651,1.51007513317699,1.5,26.8183729096352
