Time,Voltage,Current,Battery_Temp_degC
0,4.1748,-0.01062,25.6307
0.09400472,4.17351,-0.04818,25.6307
0.200994685,4.17287,-0.06206,25.6307
0.301004201,4.17223,-0.06533,25.6307
0.39999783,4.17223,-0.06615,25.6307
0.49799569,4.17223,-0.06615,25.6307
0.596003607,4.17223,-0.06696,25.6307
0.694001466,4.17223,-0.06696,25.6307
0.801997259,4.17223,-0.06615,25.6307
0.89600198,4.17223,-0.06696,25.6307
0.998003036,4.17223,-0.06696,25.6307
1.101995632,4.17223,-0.06696,25.61949
1.198001951,4.17223,-0.06696,25.61949
1.302004606,4.17223,-0.06615,25.61949
1.402999833,4.17223,-0.06615,25.61949
1.498996094,4.17223,-0.06696,25.61949
1.602998748,4.17223,-0.06696,25.6307
1.69599764,4.17223,-0.06615,25.6307
1.800000295,4.17223,-0.06615,25.6307
1.895000786,4.17223,-0.06615,25.6307
1.99999921,4.17223,-0.06696,25.6307
2.097001299,4.17223,-0.06696,25.6307
2.202995494,4.17223,-0.06615,25.6307
2.301003411,4.17223,-0.06696,25.6307
2.394998074,4.17223,-0.06696,25.6307
2.501998097,4.17223,-0.06615,25.6307
2.596002817,4.17223,-0.06615,25.6307
2.699995413,4.17223,-0.06696,25.6307
2.798999101,4.17223,-0.06696,25.6307
2.89699696,4.17223,-0.06696,25.6307
3.003996983,4.17094,-0.11106,25.6307
3.098001704,4.16837,-0.16169,25.6307
3.198001161,4.16708,-0.18129,25.6307
3.29500325,4.16708,-0.18701,25.6307
3.402003273,4.16644,-0.18864,25.6307
3.502002731,4.16644,-0.18864,25.6307
3.595997393,4.16644,-0.18864,25.6307
3.702001646,4.16644,-0.18864,25.6307
3.799003735,4.16644,-0.18946,25.6307
3.902000561,4.16644,-0.18864,25.6307
3.997996822,4.16386,-0.27112,25.6307
4.102995247,4.1555,-0.47772,25.61949
4.194002599,4.15228,-0.53162,25.61949
4.299001023,4.15035,-0.55367,25.61949
4.394997284,4.15035,-0.55857,25.61949
4.499995708,4.14971,-0.5602,25.61949
4.594996199,4.14971,-0.56102,25.61949
4.701000452,4.14971,-0.56102,25.61949
4.794995114,4.14906,-0.56102,25.61949
4.900999367,4.14906,-0.56183,25.61949
4.998001456,4.14713,-1.03711,25.61949
5.102999881,4.13491,-1.04119,25.61949
5.20099774,4.13041,-1.04364,25.61949
5.298995599,4.12848,-1.04527,25.61949
5.402998254,4.12783,-1.04527,25.61949
5.500996113,4.12719,-1.04609,25.61949
5.597998202,4.12719,-1.04609,25.61949
5.702996626,4.12719,-1.04609,25.61949
5.804997683,4.12655,-1.04691,25.61949
5.899002403,4.12655,-1.04609,25.61949
5.997996032,4.12333,-1.49278,25.61949
6.094998121,4.11432,-1.50013,25.61949
6.194997579,4.10853,-1.50503,25.61949
6.301001832,4.1066,-1.50748,25.61949
6.392994896,4.10596,-1.50911,25.61949
6.498999149,4.10596,-1.50911,25.61949
6.603001803,4.10532,-1.50911,25.6307
6.703001261,4.10532,-1.50993,25.6307
6.80000335,4.10467,-1.50993,25.6307
6.905001774,4.10467,-1.50993,25.6307
7.002003863,4.10146,-1.97949,25.6307
7.098000124,4.09181,-1.97459,25.6307
7.193996385,4.08666,-1.97622,25.6307
7.302998006,4.08408,-1.97867,25.61949
7.397002727,4.08344,-1.97949,25.61949
7.502001151,4.0828,-1.9803,25.61949
7.59900324,4.0828,-1.9803,25.61949
7.702000067,4.08215,-1.98112,25.61949
7.794998959,4.08215,-1.98112,25.61949
7.901003212,4.08151,-1.98112,25.61949
7.994997874,4.08022,-2.0097,25.61949
8.103003725,4.07636,-2.11423,25.61949
8.201997355,4.07443,-2.13954,25.61949
8.299995214,4.07379,-2.14934,25.61949
8.396001533,4.07315,-2.15098,25.61949
8.493999392,4.07315,-2.15261,25.6307
8.601995185,4.0725,-2.15261,25.6307
8.696995676,4.0725,-2.15261,25.6307
8.798000962,4.07186,-2.15261,25.6307
8.895003051,4.07186,-2.15261,25.6307
8.998995647,4.07186,-2.14444,25.6307
9.093996137,4.07315,-2.10361,25.6307
9.20000039,4.07379,-2.09218,25.61949
9.295000881,4.07379,-2.08973,25.61949
9.399999306,4.07315,-2.08891,25.61949
9.50400196,4.07315,-2.08891,25.61949
9.599998221,4.07315,-2.08891,25.6307
9.69700031,4.0725,-2.08891,25.6307
9.794002399,4.0725,-2.08891,25.6307
9.901002422,4.07186,-2.08891,25.83245
9.996998683,4.07122,-2.11831,25.83245
10.10100134,4.06671,-2.22202,25.6307
10.1969976,4.06543,-2.24897,25.6307
10.30100025,4.06414,-2.25795,25.61949
10.39499491,4.06414,-2.25959,25.61949
10.50199494,4.0635,-2.2604,25.61949
10.59699543,4.0635,-2.2604,25.61949
10.70299968,4.0635,-2.26122,25.61949
10.80299914,4.06285,-2.2604,25.61949
10.89799963,4.06285,-2.26122,25.61949
10.99399589,4.06092,-2.31348,25.61949
11.10099591,4.05513,-2.45558,25.61949
11.197998,4.0532,-2.49151,25.61949
11.29599586,4.05192,-2.50457,25.61949
11.39599532,4.05127,-2.50784,25.61949
11.50199957,4.05127,-2.50947,25.61949
11.59499846,4.05063,-2.51029,25.61949
11.69900112,4.05063,-2.51029,25.61949
11.80199794,4.04999,-2.51029,25.61949
11.89499684,4.04999,-2.51111,25.61949
11.99999526,4.05127,-2.46783,25.61949
12.09499575,4.05513,-2.35268,25.61949
12.2030016,4.05706,-2.31675,25.61949
12.30000369,4.05706,-2.30858,25.61949
12.40300052,4.05706,-2.30532,25.61949
12.50000261,4.05706,-2.3045,25.61949
12.59399727,4.05706,-2.3045,25.61949
12.70099729,4.05706,-2.3045,25.61949
12.79799938,4.05642,-2.30368,25.61949
12.90299781,4.05642,-2.3045,25.6307
12.99700253,4.05835,-2.01133,25.6307
13.10200095,4.068,-1.91906,25.6307
13.19900304,4.07186,-1.89374,25.61949
13.29400353,4.0725,-1.88639,25.61949
13.40199932,4.07315,-1.88394,25.6307
13.49699982,4.07315,-1.88313,25.6307
13.5940019,4.07315,-1.88313,25.6307
13.7039993,4.07315,-1.88313,25.6307
13.80199715,4.07315,-1.88313,25.6307
13.89999501,4.07315,-1.88231,25.6307
14.0010003,4.07379,-1.48788,25.6307
14.09699656,4.08344,-1.4936,25.6307
14.20300081,4.0873,-1.49278,25.6307
14.29899707,4.08795,-1.49278,25.61949
14.39500339,4.08859,-1.49196,25.61949
14.49899599,4.08859,-1.49196,25.61949
14.59899545,4.08859,-1.49196,25.6307
14.69399594,4.08859,-1.49115,25.6307
14.80000019,4.08859,-1.49196,25.61949
14.89599645,4.08859,-1.49196,25.61949
15.0020007,4.08666,-1.55648,25.61949
15.09700119,4.08344,-1.63161,25.61949
15.19400328,4.08151,-1.66182,25.61949
15.29799588,4.08087,-1.66999,25.61949
15.40300436,4.08087,-1.67244,25.61949
15.49699903,4.08022,-1.67325,25.61949
15.59999585,4.08022,-1.67325,25.61949
15.70399851,4.08022,-1.67325,25.61949
15.79999477,4.08022,-1.67407,25.61949
15.90199582,4.08022,-1.67325,25.61949
16.00000374,4.07958,-1.68959,25.61949
16.09899737,4.07829,-1.72715,25.61949
16.19399786,4.07765,-1.73613,25.6307
16.29599892,4.07701,-1.7394,25.6307
16.40500054,4.07701,-1.74103,25.6307
16.50400423,4.07701,-1.74103,25.61949
16.60000049,4.07636,-1.74103,25.61949
16.69999994,4.07636,-1.74103,25.6307
16.79500043,4.07636,-1.74103,25.6307
16.90200046,4.07636,-1.74103,25.6307
17.00299568,4.07958,-1.45767,25.6307
17.09600464,4.08537,-1.42582,25.6307
17.19400249,4.08859,-1.41194,25.61949
17.29999669,4.08923,-1.40704,25.61949
17.39600301,4.08988,-1.40622,25.61949
17.50100143,4.08988,-1.40622,25.61949
17.59800352,4.08988,-1.40622,25.61949
17.69399978,4.08988,-1.4054,25.6307
17.80000404,4.08988,-1.4054,25.6307
17.90300086,4.08988,-1.4054,25.61949
17.99800135,4.08923,-1.43235,25.61949
18.09399761,4.08473,-1.54259,25.61949
18.19899604,4.08344,-1.57118,25.61949
18.29599813,4.0828,-1.57853,25.61949
18.39300022,4.08215,-1.58098,25.61949
18.49700287,4.08215,-1.58179,25.61949
18.60499866,4.08215,-1.58179,25.61949
18.70099492,4.08215,-1.58179,25.61949
18.79799701,4.08151,-1.58261,25.6307
18.8949991,4.08151,-1.58261,25.6307
18.99499856,4.08215,-1.56628,25.6307
19.10300441,4.08408,-1.50993,25.6307
19.19999644,4.08537,-1.4985,25.6307
19.30100173,4.08537,-1.49441,25.6307
19.39400062,4.08537,-1.49278,25.6307
19.49800327,4.08537,-1.49278,25.6307
19.59399953,4.08537,-1.49278,25.6307
19.69800219,4.08537,-1.49196,25.6307
19.79500428,4.08537,-1.49278,25.6307
19.9020043,4.08537,-1.49196,25.6307
19.99599896,4.08473,-1.49931,25.6307
20.10200322,4.08344,-1.52626,25.6307
20.20000108,4.08344,-1.5328,25.6307
20.29399574,4.0828,-1.53443,25.6307
20.39599679,4.0828,-1.53525,25.6307
20.50299682,4.0828,-1.53525,25.6307
20.59999891,4.0828,-1.53525,25.83245
20.70499733,4.0828,-1.53525,25.83245
20.79799622,4.0828,-1.53525,25.61949
20.90400048,4.08215,-1.53606,25.61949
20.99900097,4.08344,-1.49605,25.61949
21.09499723,4.0873,-1.39887,25.61949
21.20300308,4.08923,-1.35886,25.61949
21.29800357,4.08988,-1.34824,25.6307
21.3969972,4.08988,-1.34579,25.6307
21.49499506,4.08988,-1.34497,25.6307
